DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2021,66857,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2022,64281,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1990,148241,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1991,137487,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1992,116451,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1993,96330,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1994,82230,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1995,72008,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1996,66843,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1997,66562,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1998,58953,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,1999,61214,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2000,56673,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2001,54267,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2002,57521,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2003,56560,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2004,62530,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2005,57852,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2006,57548,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2007,53480,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2008,56995,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2009,53705,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2010,55725,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2011,54915,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2012,55027,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2013,58653,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2014,62740,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2015,62399,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2016,63577,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2017,62628,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2018,62357,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2019,64431,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2020,60191,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2021,60777,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BG,2022,61192,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1980,64751,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1981,64816,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1982,64854,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1983,64868,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1984,65277,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1985,65692,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1986,66292,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1987,66876,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1988,67446,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1989,68002,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1990,68654,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1991,67710,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1992,67255,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1993,66296,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1994,65950,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1995,65685,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1996,64473,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1997,62314,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1998,62039,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,1999,61687,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2000,62194,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2001,62260,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2002,61254,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2003,60006,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2004,59478,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2005,60075,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2006,60181,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2007,60776,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2008,60233,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2009,58455,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2010,58020,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2011,56964,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2012,56355,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2013,55608,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2014,55985,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2015,55177,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2016,55038,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2017,54980,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2018,54385,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2019,53596,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2020,53306,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2021,53786,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CH,2022,53439,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1990,7562,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1991,7597,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1992,8139,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1993,8327,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1994,8325,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1995,8515,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1996,8900,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1997,9001,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1998,9152,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,1999,9144,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2000,9316,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2001,10096,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2002,10640,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,CY,2003,10151,
